frame x y z roll pitch yaw
0 -0.133961 2.909939 1.642876 0.000 0.000 -75.190
1 -0.133524 2.909756 1.642818 0.000 0.000 -75.200
2 -0.132669 2.909390 1.642706 0.000 0.000 -75.210
3 -0.131436 2.908833 1.642546 0.000 0.000 -75.230
4 -0.129882 2.908079 1.642348 0.000 0.000 -75.250
5 -0.128080 2.907118 1.642123 0.000 0.000 -75.270
6 -0.126115 2.905940 1.641886 0.000 0.000 -75.300
7 -0.124081 2.904534 1.641651 0.000 0.000 -75.330
8 -0.122080 2.902888 1.641434 0.000 0.000 -75.350
9 -0.120212 2.900990 1.641250 0.000 0.000 -75.380
10 -0.118581 2.898831 1.641114 0.000 0.000 -75.400
11 -0.117281 2.896402 1.641039 0.000 0.000 -75.410
12 -0.116403 2.893696 1.641036 0.000 0.000 -75.420
13 -0.116025 2.890708 1.641113 0.000 0.000 -75.420
14 -0.116214 2.887438 1.641276 0.000 0.000 -75.410
15 -0.117024 2.883885 1.641529 0.000 0.000 -75.390
16 -0.118495 2.880055 1.641871 0.000 0.000 -75.360
17 -0.120652 2.875955 1.642300 0.000 0.000 -75.320
18 -0.123507 2.871594 1.642811 0.000 0.000 -75.260
19 -0.127056 2.866985 1.643397 0.000 0.000 -75.200
20 -0.131286 2.862143 1.644048 0.000 0.000 -75.120
21 -0.136170 2.857087 1.644753 0.000 0.000 -75.040
25 -0.141674 2.851834 1.645500 0.000 0.000 -74.940
26 -0.147753 2.846405 1.646278 0.000 0.000 -74.840
27 -0.154358 2.840823 1.647074 0.000 0.000 -74.720
28 -0.161434 2.835109 1.647876 0.000 0.000 -74.600
29 -0.168923 2.829288 1.648674 0.000 0.000 -74.470
30 -0.176766 2.823381 1.649458 0.000 0.000 -74.330
31 -0.184902 2.817412 1.650220 0.000 0.000 -74.190
32 -0.193270 2.811404 1.650954 0.000 0.000 -74.040
33 -0.201813 2.805378 1.651657 0.000 0.000 -73.890
34 -0.210473 2.799355 1.652328 0.000 0.000 -73.730
35 -0.219197 2.793356 1.652969 0.000 0.000 -73.570
36 -0.227936 2.787399 1.653584 0.000 0.000 -73.410
37 -0.236641 2.781501 1.654179 0.000 0.000 -73.240
38 -0.245271 2.775679 1.654763 0.000 0.000 -73.080
39 -0.253787 2.769947 1.655347 0.000 0.000 -72.910
40 -0.262156 2.764319 1.655943 0.000 0.000 -72.740
41 -0.270347 2.758806 1.656567 0.000 0.000 -72.570
42 -0.278337 2.753419 1.657233 0.000 0.000 -72.400
43 -0.286103 2.748166 1.657957 0.000 0.000 -72.230
44 -0.293630 2.743053 1.658754 0.000 0.000 -72.060
45 -0.300908 2.738087 1.659641 0.000 0.000 -71.900
46 -0.307927 2.733272 1.660631 0.000 0.000 -71.730
47 -0.314685 2.728611 1.661738 0.000 0.000 -71.570
48 -0.321182 2.724105 1.662974 0.000 0.000 -71.400
49 -0.327423 2.719754 1.664348 0.000 0.000 -71.240
50 -0.333416 2.715556 1.665868 0.000 0.000 -71.080
51 -0.339174 2.711510 1.667537 0.000 0.000 -70.920
52 -0.344712 2.707611 1.669360 0.000 0.000 -70.770
53 -0.350049 2.703854 1.671335 0.000 0.000 -70.610
54 -0.355204 2.700234 1.673459 0.000 0.000 -70.460
55 -0.360200 2.696742 1.675727 0.000 0.000 -70.300
56 -0.365062 2.693371 1.678131 0.000 0.000 -70.150
57 -0.369814 2.690112 1.680661 0.000 0.000 -70.000
58 -0.374482 2.686954 1.683304 0.000 0.000 -69.850
59 -0.379090 2.683888 1.686047 0.000 0.000 -69.690
60 -0.383661 2.680900 1.688873 0.000 0.000 -69.540
61 -0.388216 2.677979 1.691767 0.000 0.000 -69.390
62 -0.392777 2.675113 1.694710 0.000 0.000 -69.230
63 -0.397358 2.672286 1.697684 0.000 0.000 -69.070
64 -0.401973 2.669486 1.700672 0.000 0.000 -68.910
65 -0.406634 2.666698 1.703657 0.000 0.000 -68.750
66 -0.411346 2.663907 1.706621 0.000 0.000 -68.580
67 -0.416113 2.661099 1.709549 0.000 0.000 -68.410
68 -0.420934 2.658259 1.712426 0.000 0.000 -68.240
69 -0.425807 2.655373 1.715243 0.000 0.000 -68.070
70 -0.430725 2.652428 1.717987 0.000 0.000 -67.890
71 -0.435678 2.649409 1.720654 0.000 0.000 -67.710
72 -0.440655 2.646304 1.723238 0.000 0.000 -67.520
73 -0.445642 2.643101 1.725738 0.000 0.000 -67.340
74 -0.450625 2.639791 1.728156 0.000 0.000 -67.150
75 -0.455585 2.636363 1.730495 0.000 0.000 -66.950
76 -0.460506 2.632810 1.732763 0.000 0.000 -66.760
77 -0.465368 2.629124 1.734968 0.000 0.000 -66.560
78 -0.470152 2.625300 1.737120 0.000 0.000 -66.360
79 -0.474838 2.621332 1.739233 0.000 0.000 -66.160
80 -0.479407 2.617215 1.741319 0.000 0.000 -65.960
81 -0.483838 2.612940 1.743391 0.000 0.000 -65.750
82 -0.488115 2.608502 1.745463 0.000 0.000 -65.540
83 -0.492220 2.603886 1.747547 0.000 0.000 -65.340
84 -0.496139 2.599078 1.749654 0.000 0.000 -65.130
85 -0.499862 2.594053 1.751791 0.000 0.000 -64.910
86 -0.503380 2.588782 1.753965 0.000 0.000 -64.700
87 -0.506690 2.583222 1.756176 0.000 0.000 -64.480
88 -0.509797 2.577320 1.758423 0.000 0.000 -64.260
89 -0.512709 2.571009 1.760699 0.000 0.000 -64.030
90 -0.515443 2.564206 1.762989 0.000 0.000 -63.790
91 -0.518021 2.556812 1.765276 0.000 0.000 -63.540
92 -0.520477 2.548710 1.767535 0.000 0.000 -63.280
93 -0.522849 2.539768 1.769734 0.000 0.000 -63.010
94 -0.525184 2.529835 1.771834 0.000 0.000 -62.710
95 -0.527537 2.518749 1.773791 0.000 0.000 -62.390
96 -0.529967 2.506332 1.775551 0.000 0.000 -62.050
97 -0.532540 2.492398 1.777057 0.000 0.000 -61.670
98 -0.535325 2.476756 1.778243 0.000 0.000 -61.250
99 -0.538392 2.459214 1.779039 0.000 0.000 -60.800
100 -0.541812 2.439585 1.779368 0.000 0.000 -60.290
101 -0.545653 2.417690 1.779152 0.000 0.000 -59.740
102 -0.549981 2.393366 1.778309 0.000 0.000 -59.130
103 -0.554854 2.366471 1.776754 0.000 0.000 -58.470
104 -0.560325 2.336888 1.774404 0.000 0.000 -57.740
105 -0.566434 2.304531 1.771176 0.000 0.000 -56.950
106 -0.573216 2.269349 1.766992 0.000 0.000 -56.090
107 -0.580688 2.231328 1.761776 0.000 0.000 -55.170
108 -0.588861 2.190494 1.755461 0.000 0.000 -54.180
109 -0.597727 2.146915 1.747987 0.000 0.000 -53.120
110 -0.607269 2.100699 1.739306 0.000 0.000 -51.990
111 -0.617456 2.051997 1.729378 0.000 0.000 -50.810
112 -0.628243 2.000995 1.718179 0.000 0.000 -49.560
113 -0.639575 1.947920 1.705699 0.000 0.000 -48.260
114 -0.651384 1.893029 1.691940 0.000 0.000 -46.910
115 -0.663594 1.836608 1.676924 0.000 0.000 -45.510
116 -0.676118 1.778971 1.660687 0.000 0.000 -44.080
117 -0.688860 1.720448 1.643283 0.000 0.000 -42.610
118 -0.701720 1.661388 1.624779 0.000 0.000 -41.120
119 -0.714592 1.602148 1.605264 0.000 0.000 -39.610
120 -0.727362 1.543093 1.584837 0.000 0.000 -38.090
121 -0.739917 1.484590 1.563615 0.000 0.000 -36.580
148 -0.752139 1.427003 1.541727 0.000 0.000 -35.060
149 -0.763911 1.370689 1.519316 0.000 0.000 -33.570
153 -0.775113 1.315996 1.496533 0.000 0.000 -32.100
154 -0.785630 1.263258 1.473541 0.000 0.000 -30.660
155 -0.795347 1.212793 1.450511 0.000 0.000 -29.250
156 -0.804151 1.164899 1.427617 0.000 0.000 -27.900
157 -0.811938 1.119853 1.405040 0.000 0.000 -26.590
158 -0.818607 1.077905 1.382962 0.000 0.000 -25.350
159 -0.824064 1.039279 1.361564 0.000 0.000 -24.160
162 -0.828226 1.004167 1.341027 0.000 0.000 -23.050
