frame x y z roll pitch yaw
0 -0.238499 -1.581701 4.128036 -13.235 9.086 176.48
1 -0.238499 -1.581701 4.128036 -13.235 9.086 176.48
2 -0.226949 -1.563039 4.081444 -32.644 3.072 178.825
3 -0.228974 -1.591606 4.152978 -5.254 6.175 179.734
4 -0.228963 -1.584174 4.152804 -5.277 6.216 179.729
5 -0.256071 -1.556113 4.082229 -32.368 4.085 178.443
6 -0.342685 -1.577041 4.071005 -33.749 -0.43 -177.755
7 -0.347049 -1.565187 4.01904 -5.608 5.266 179.981
8 -0.339818 -1.557787 4.018333 -5.606 5.331 179.964
9 -0.263234 -1.42539 4.080478 -27.659 4.28 178.505
10 -0.214756 -1.334639 3.949376 -12.78 -6.496 -177.81
11 -0.205002 -1.323307 3.939125 -34.713 3.557 -179.187
12 -0.179548 -1.313566 3.949266 -13.416 -6.833 -177.736
13 -0.179548 -1.313566 3.949266 -13.416 -6.833 -177.736
14 -0.168824 -1.315753 3.945277 -13.26 -6.623 -175.778
15 -0.160475 -1.299759 3.88916 -30.187 10.472 176.451
16 -0.15563 -1.317625 3.931721 -26.144 1.19 -178.38
17 -0.15563 -1.317625 3.931721 -26.144 1.19 -178.38
18 -0.155639 -1.32469 3.932031 -26.414 1.274 -178.411
19 -0.150143 -1.304087 3.829027 -13.386 -5.562 -178.122
20 -0.153815 -1.304037 3.801117 -27.793 1.922 -178.714
21 -0.15382 -1.310825 3.801288 -28.056 1.972 -178.735
22 -0.153824 -1.317611 3.801451 -28.317 2.02 -178.756
23 -0.178342 -1.298021 3.679443 -29.509 3.508 -179.355
24 -0.236067 -1.273848 3.601625 -26.55 -7.44 -175.484
25 -0.262007 -1.275187 3.605339 -25.977 -6.945 -175.661
26 -0.295867 -1.253068 3.552452 -30.965 -1.272 -179.55
27 -0.308725 -1.253914 3.554825 -30.773 -0.873 -179.69
28 -0.317257 -1.240085 3.506192 -24.853 -5.714 -177.951
29 -0.342569 -1.24128 3.509483 -24.208 -5.257 -178.11
30 -0.393428 -1.250202 3.516904 -22.947 -4.318 -178.429
31 -0.416835 -1.239269 3.426377 -21.947 -2.578 -179.029
32 -0.416835 -1.239269 3.426377 -21.947 -2.578 -179.029
33 -0.413831 -1.242432 3.426634 -21.369 -2.302 -177.381
34 -0.284491 -1.119048 3.349423 -28.199 8.942 178.734
35 -0.292259 -0.992853 3.150489 -18.797 20.035 175.923
36 -0.251601 -1.005737 3.161523 -26.458 8.214 179.025
37 -0.20782 -1.000604 3.064109 -24.103 18.104 176.306
38 -0.257867 -0.996484 2.966915 -22.102 -2.775 -176.041
39 -0.428857 -0.869943 2.728103 -24.512 4.012 -178.501
40 -0.432059 -0.866813 2.662144 -20.481 13.722 176.136
41 -0.434231 -0.86878 2.66108 -20.93 14.615 177.214
42 -0.436907 -0.871715 2.662797 -21.001 13.814 176.082
43 -0.384393 -0.851338 2.575054 -13.964 -0.489 -179.813
44 -0.377323 -0.848589 2.573632 -13.925 -0.584 -178.476
45 -0.292298 -0.745449 2.465079 -22.903 13.626 177.754
46 -0.28304 -0.73646 2.451786 -15.819 -1.662 -177.006
47 -0.252446 -0.717785 2.388473 -10.46 -3.63 -177.643
48 -0.251739 -0.721926 2.40382 -16.861 -1.357 -178.39
49 -0.251842 -0.726522 2.404925 -16.874 -1.177 -178.442
