frame x y z roll pitch yaw
0 -0.238499 -1.581701 4.128036 176.43757566789856 -13.065973080802964 -9.102886521915593
1 -0.238499 -1.581701 4.128036 176.43757566789856 -13.065973080802964 -9.102886521915593
2 -0.226949 -1.563039 4.081444 178.60764134828304 -32.59127082054403 -3.072644859188472
3 -0.228974 -1.591606 4.152978 179.73443972985547 -5.223431270902611 -6.175066032940435
4 -0.228963 -1.584174 4.152804 179.72945937559635 -5.245888039281975 -6.216068986670962
5 -0.256071 -1.556113 4.082229 178.16369682542242 -32.27578464594048 -4.086503675486654
6 -0.342685 -1.577041 4.071005 -177.3012150003931 -33.747921908324486 0.4303302839441585
7 -0.347049 -1.565187 4.01904 179.98098925927556 -5.584255126298495 -5.266000287915006
8 -0.339818 -1.557787 4.018333 179.96398366086427 -5.581674498226374 -5.331001046234633
9 -0.263234 -1.42539 4.080478 178.31864380270994 -27.575289410079208 -4.281451966102054
10 -0.214756 -1.334639 3.949376 -177.7710120966857 -12.696574648502384 6.500707510356932
11 -0.205002 -1.323307 3.939125 -179.01230120462847 -34.63657010053504 -3.5573571984077716
12 -0.179548 -1.313566 3.949266 -177.69165422027058 -13.318947083980198 6.838287387517738
13 -0.179548 -1.313566 3.949266 -177.69165422027058 -13.318947083980198 6.838287387517738
14 -0.168824 -1.315753 3.945277 -175.7002200193792 -13.169912221299809 6.6408611041674135
15 -0.160475 -1.299759 3.88916 175.99031922359148 -29.633405230180912 -10.491675164122228
16 -0.15563 -1.317625 3.931721 -178.19535185606875 -26.137934577880586 -1.1904756871721247
17 -0.15563 -1.317625 3.931721 -178.19535185606875 -26.137934577880586 -1.1904756871721247
18 -0.155639 -1.32469 3.932031 -178.22578383174 -26.40696511441209 -1.2744899343869633
19 -0.150143 -1.304087 3.829027 -178.0801263234371 -13.321813670378512 5.564970347849737
20 -0.153815 -1.304037 3.801117 -178.54660667864124 -27.77601133042709 -1.9224838661662602
21 -0.15382 -1.310825 3.801288 -178.5668878148244 -28.037916624255363 -1.9724803499656218
22 -0.153824 -1.317611 3.801451 -178.5872639829371 -28.29781704255232 -2.020475819373189
23 -0.178342 -1.298021 3.679443 -179.25996787388036 -29.44825621097381 -3.508221738291752
24 -0.236067 -1.273848 3.601625 -175.02180092854712 -26.309223997355197 7.4629094905423585
25 -0.262007 -1.275187 3.605339 -175.2319990348646 -25.77234498157703 6.964766722902169
26 -0.295867 -1.253068 3.552452 -179.47539557256195 -30.9565285625482 1.2720392197955448
27 -0.308725 -1.253914 3.554825 -179.63926055097042 -30.769039714296603 0.8730127761631366
28 -0.317257 -1.240085 3.506192 -177.75698366286187 -24.721206457018276 5.7176315683258565
29 -0.342569 -1.24128 3.509483 -177.9394329381462 -24.09969541623479 5.25984538580542
30 -0.393428 -1.250202 3.516904 -178.30039800754128 -22.878161606527687 4.319617518356495
31 -0.416835 -1.239269 3.426377 -178.95453018899494 -21.923635522614504 2.578369752948504
32 -0.416835 -1.239269 3.426377 -178.95453018899494 -21.923635522614504 2.578369752948504
33 -0.413831 -1.242432 3.426634 -177.19224096389456 -21.350909473503734 2.304404424278829
34 -0.284491 -1.119048 3.349423 178.58363046684286 -27.82627704783494 -8.944148015878113
35 -0.292259 -0.992853 3.150489 175.987073515596 -17.62085022104479 -20.081771964277607
36 -0.251601 -1.005737 3.161523 178.92343024783386 -26.16585221856222 -8.21517320213934
37 -0.20782 -1.000604 3.064109 176.18807069675418 -22.840125849323037 -18.139225490970375
38 -0.257867 -0.996484 2.966915 -175.73888818150172 -22.07471789204786 2.781627377483744
39 -0.428857 -0.869943 2.728103 -178.35526052105487 -24.447993172413028 -4.013368962454933
40 -0.432059 -0.866813 2.662144 176.01721016387805 -19.87139300533492 -13.752077993906084
41 -0.434231 -0.86878 2.66108 177.1273356432372 -20.222599882846232 -14.631552990063255
42 -0.436907 -0.871715 2.662797 175.9504697976652 -20.366154863536234 -13.845117125024444
43 -0.384393 -0.851338 2.575054 -179.8073137951108 -13.963481117326833 0.48900260433981657
44 -0.377323 -0.848589 2.573632 -178.4300657102228 -13.924262075624425 0.5842066357535884
45 -0.292298 -0.745449 2.465079 177.63974886724935 -22.22338338617524 -13.636084905462837
46 -0.28304 -0.73646 2.451786 -176.89101407748558 -15.812170896541422 1.6642704377152597
47 -0.252446 -0.717785 2.388473 -177.60916724145957 -10.438778686571924 3.6330654385727144
48 -0.251739 -0.721926 2.40382 -178.31853032920415 -16.85612989562652 1.357535718603316
49 -0.251842 -0.726522 2.404925 -178.37255881984805 -16.87033315313123 1.177435158705208
