frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
0,000000.png,-0.243118,-1.587843,4.164203,-3.341,20.840,0.000,-3.341,20.872,0.144
1,000001.png,-0.237043,-1.552580,4.076993,-3.328,20.815,0.000,-3.328,20.848,0.183
2,000002.png,-0.243118,-1.587843,4.164203,-3.341,20.840,0.000,-3.341,20.872,0.144
3,000003.png,-0.243118,-1.587843,4.164203,-3.341,20.840,0.000,-3.341,20.872,0.144
4,000004.png,-0.243118,-1.587843,4.164203,-3.341,20.840,0.000,-3.341,20.872,0.144
5,000005.png,-0.243253,-1.596161,4.166647,-3.341,20.928,0.000,-3.341,20.961,0.144
6,000006.png,-0.238499,-1.581701,4.128036,-3.307,20.933,0.000,-3.307,20.965,0.095
7,000007.png,-0.234163,-1.559998,4.078561,-3.286,20.900,0.000,-3.286,20.931,0.248
8,000008.png,-0.234163,-1.559998,4.078561,-3.286,20.900,0.000,-3.286,20.931,0.248
9,000009.png,-0.235828,-1.596179,4.166717,-3.239,20.930,0.000,-3.239,20.961,0.143
10,000010.png,-0.226949,-1.563039,4.081444,-3.183,20.925,0.000,-3.183,20.955,0.071
11,000011.png,-0.228400,-1.596179,4.166737,-3.138,20.932,0.000,-3.138,20.961,0.142
12,000012.png,-0.228974,-1.591606,4.152978,-3.156,20.940,0.000,-3.156,20.969,0.048
13,000013.png,-0.229930,-1.609486,4.205320,-3.130,20.915,0.000,-3.130,20.943,0.441
14,000014.png,-0.229391,-1.587298,4.156667,-3.159,20.871,0.000,-3.159,20.900,0.265
15,000015.png,-0.228963,-1.584174,4.152804,-3.156,20.851,0.000,-3.156,20.880,0.048
16,000016.png,-0.225910,-1.566883,4.119679,-3.139,20.795,0.000,-3.139,20.824,0.107
17,000017.png,-0.223842,-1.553727,4.079935,-3.140,20.819,0.000,-3.140,20.848,0.215
18,000018.png,-0.224328,-1.582424,4.159610,-3.087,20.800,0.000,-3.087,20.828,0.143
19,000019.png,-0.224328,-1.582424,4.159610,-3.087,20.800,0.000,-3.087,20.828,0.143
20,000020.png,-0.221159,-1.553159,4.087624,-3.097,20.777,0.000,-3.097,20.805,0.165
21,000021.png,-0.234860,-1.577982,4.148000,-3.241,20.797,0.000,-3.241,20.828,0.468
22,000022.png,-0.245798,-1.580645,4.145197,-3.393,20.839,0.000,-3.393,20.873,0.476
