frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
0,000000.png,-2.065601,-0.856247,3.134180,-33.387,12.850,0.000,-33.387,15.280,0.210
1,000001.png,-2.086169,-0.864050,3.170162,-33.347,12.827,0.000,-33.347,15.246,0.327
2,000002.png,-2.064231,-0.856857,3.130172,-33.403,12.872,0.000,-33.403,15.309,0.095
3,000003.png,-2.075673,-0.862626,3.141438,-33.454,12.904,0.000,-33.454,15.355,0.204
4,000004.png,-2.075822,-0.864351,3.137424,-33.490,12.940,0.000,-33.490,15.403,0.203
5,000005.png,-2.105093,-0.877990,3.181942,-33.488,12.960,0.000,-33.488,15.426,0.290
6,000006.png,-2.094874,-0.875484,3.168277,-33.473,12.980,0.000,-33.473,15.447,0.104
7,000007.png,-2.105093,-0.877990,3.181942,-33.488,12.960,0.000,-33.488,15.426,0.290
8,000008.png,-2.079858,-0.869257,3.141194,-33.509,12.993,0.000,-33.509,15.468,0.211
9,000009.png,-2.073750,-0.868605,3.136487,-33.471,13.008,0.000,-33.471,15.479,0.169
10,000010.png,-2.073750,-0.868605,3.136487,-33.471,13.008,0.000,-33.471,15.479,0.169
11,000011.png,-2.092769,-0.877263,3.167332,-33.454,13.012,0.000,-33.454,15.481,0.293
12,000012.png,-2.094756,-0.881058,3.168097,-33.473,13.060,0.000,-33.473,15.541,0.103
13,000013.png,-2.073404,-0.872432,3.140185,-33.436,13.053,0.000,-33.436,15.527,0.176
14,000014.png,-2.090359,-0.883254,3.165738,-33.437,13.106,0.000,-33.437,15.589,0.105
15,000015.png,-2.052758,-0.867101,3.112678,-33.404,13.092,0.000,-33.404,15.566,0.173
16,000016.png,-2.047137,-0.867074,3.112578,-33.333,13.102,0.000,-33.333,15.566,0.174
17,000017.png,-2.065736,-0.880573,3.155868,-33.208,13.141,0.000,-33.208,15.591,0.330
18,000018.png,-2.062622,-0.882385,3.170914,-33.043,13.130,0.000,-33.043,15.551,0.076
19,000019.png,-2.053363,-0.882463,3.167216,-32.956,13.159,0.000,-32.956,15.569,0.265
20,000020.png,-2.035813,-0.880817,3.160041,-32.791,13.188,0.000,-32.791,15.575,0.172
21,000021.png,-2.038708,-0.885739,3.174828,-32.706,13.211,0.000,-32.706,15.588,0.202
22,000022.png,-2.012375,-0.878745,3.149214,-32.579,13.232,0.000,-32.579,15.591,0.123
23,000023.png,-2.033509,-0.890342,3.195928,-32.468,13.227,0.000,-32.468,15.567,0.178
24,000024.png,-2.028197,-0.891796,3.209986,-32.286,13.217,0.000,-32.286,15.526,0.121
25,000025.png,-2.015447,-0.891203,3.207888,-32.140,13.238,0.000,-32.140,15.526,0.119
26,000026.png,-2.004343,-0.890771,3.206277,-32.011,13.256,0.000,-32.011,15.526,0.266
27,000027.png,-1.992486,-0.890865,3.201063,-31.900,13.294,0.000,-31.900,15.552,0.255
28,000028.png,-1.984657,-0.891499,3.204609,-31.770,13.306,0.000,-31.770,15.546,0.081
29,000029.png,-1.972277,-0.891079,3.203080,-31.622,13.327,0.000,-31.622,15.546,0.079
30,000030.png,-1.969047,-0.893022,3.218776,-31.456,13.315,0.000,-31.456,15.506,0.256
31,000031.png,-1.930568,-0.879932,3.176794,-31.287,13.317,0.000,-31.287,15.482,0.166
32,000032.png,-1.945632,-0.889922,3.215273,-31.179,13.322,0.000,-31.179,15.471,0.166
33,000033.png,-1.943650,-0.894664,3.235841,-30.992,13.334,0.000,-30.992,15.455,0.152
34,000034.png,-1.932803,-0.893044,3.234740,-30.859,13.333,0.000,-30.859,15.434,0.287
35,000035.png,-1.925695,-0.894072,3.234904,-30.765,13.360,0.000,-30.765,15.450,0.110
36,000036.png,-1.910234,-0.889366,3.228208,-30.614,13.338,0.000,-30.614,15.403,0.404
37,000037.png,-1.901746,-0.892421,3.233427,-30.462,13.382,0.000,-30.462,15.429,0.155
38,000038.png,-1.886546,-0.886430,3.226876,-30.312,13.341,0.000,-30.312,15.360,0.165
