frame,filename,x,y,z,yaw,pitch,roll,bearing,elevation,reproj_err_px
0,000002.png,-2.064231,-0.856857,3.130172,-33.403,12.872,0.000,-33.403,15.309,0.095
1,000018.png,-2.062622,-0.882385,3.170914,-33.043,13.130,0.000,-33.043,15.551,0.076
2,000028.png,-1.984657,-0.891499,3.204609,-31.770,13.306,0.000,-31.770,15.546,0.081
3,000029.png,-1.972277,-0.891079,3.203080,-31.622,13.327,0.000,-31.622,15.546,0.079
4,000047.png,-1.811491,-0.888992,3.262501,-29.041,13.400,0.000,-29.041,15.242,0.081
5,000061.png,-1.694562,-0.934172,3.382628,-26.609,13.870,0.000,-26.609,15.438,0.056
6,000067.png,-1.589088,-0.918822,3.338581,-25.453,13.955,0.000,-25.453,15.388,0.060
7,000068.png,-1.570641,-0.918452,3.337270,-25.203,13.983,0.000,-25.203,15.387,0.054
8,000075.png,-1.471974,-0.937693,3.418271,-23.298,14.141,0.000,-23.298,15.340,0.030
9,000081.png,-1.373583,-0.939077,3.442118,-21.755,14.219,0.000,-21.755,15.260,0.087
10,000083.png,-1.343631,-0.941265,3.464107,-21.200,14.216,0.000,-21.200,15.201,0.075
11,000100.png,-1.057505,-0.948964,3.530824,-16.673,14.438,0.000,-16.673,15.044,0.092
12,000102.png,-1.020143,-0.949343,3.532311,-16.109,14.478,0.000,-16.109,15.043,0.095
13,000103.png,-1.001442,-0.949523,3.533024,-15.825,14.497,0.000,-15.825,15.043,0.097
14,000111.png,-0.868682,-0.962074,3.617169,-13.504,14.500,0.000,-13.504,14.894,0.095
15,000119.png,-0.714285,-0.961954,3.626382,-11.143,14.588,0.000,-11.143,14.856,0.066
16,000120.png,-0.695097,-0.962251,3.627533,-10.847,14.602,0.000,-10.847,14.856,0.067
17,000121.png,-0.675897,-0.962550,3.628693,-10.551,14.616,0.000,-10.551,14.856,0.069
18,000123.png,-0.627933,-0.955874,3.606129,-9.878,14.635,0.000,-9.878,14.846,0.093
19,000124.png,-0.608051,-0.954886,3.602468,-9.580,14.648,0.000,-9.580,14.846,0.088
20,000125.png,-0.592546,-0.963847,3.633723,-9.262,14.670,0.000,-9.262,14.856,0.076
21,000126.png,-0.573269,-0.964136,3.634846,-8.963,14.682,0.000,-8.963,14.856,0.078
22,000150.png,-0.062973,-0.987274,3.733975,-0.966,14.808,0.000,-0.966,14.810,0.053
23,000151.png,-0.042990,-0.987474,3.734743,-0.659,14.809,0.000,-0.659,14.810,0.053
24,000160.png,0.138663,-0.966660,3.705252,2.143,14.612,0.000,2.143,14.622,0.078
25,000165.png,0.252098,-0.964246,3.721570,3.875,14.494,0.000,3.875,14.526,0.084
26,000187.png,0.707707,-0.922339,3.622379,11.055,14.031,0.000,11.055,14.285,0.068
27,000191.png,0.779736,-0.910309,3.590318,12.253,13.916,0.000,12.253,14.227,0.081
28,000213.png,1.134585,-0.867815,3.502761,17.948,13.262,0.000,17.948,13.915,0.092
29,000216.png,1.180676,-0.869641,3.509998,18.592,13.215,0.000,18.592,13.915,0.085
30,000218.png,1.206098,-0.864243,3.504034,18.994,13.128,0.000,18.994,13.855,0.089
31,000223.png,1.291949,-0.854398,3.523728,20.135,12.825,0.000,20.135,13.629,0.077
32,000224.png,1.282276,-0.833081,3.447919,20.400,12.760,0.000,20.400,13.583,0.092
33,000236.png,1.491586,-0.827824,3.426767,23.522,12.489,0.000,23.522,13.581,0.061
34,000237.png,1.511535,-0.828753,3.430522,23.779,12.466,0.000,23.779,13.581,0.061
35,000245.png,1.604090,-0.819685,3.343810,25.628,12.463,0.000,25.628,13.774,0.089
36,000252.png,1.729410,-0.830249,3.315629,27.546,12.518,0.000,27.546,14.058,0.074
37,000257.png,1.798077,-0.818967,3.232881,29.082,12.483,0.000,29.082,14.215,0.093
38,000271.png,2.066669,-0.809912,3.142213,33.333,12.153,0.000,33.333,14.454,0.073
39,000274.png,2.107201,-0.808440,3.102668,34.183,12.164,0.000,34.183,14.604,0.085
