   frame             x             y             z          roll         pitch           yaw
       0      0.000000      0.000000      0.000000     -0.140776     -0.257320    179.965439
       1     -0.000040     -0.000299      0.066666     -0.140776     -0.257320    179.965439
       2     -0.000040     -0.000299      0.066666     -0.140776     -0.257320    179.965439
       3     -0.000080     -0.000599      0.133332     -0.140776     -0.257320    179.965439
       4     -0.000080     -0.000599      0.133332     -0.140776     -0.257320    179.965439
       5     -0.000080     -0.000599      0.133332     -0.140776     -0.257320    179.965439
       6     -0.000121     -0.000898      0.199998     -0.140776     -0.257320    179.965439
       7     -0.000121     -0.000898      0.199998     -0.140776     -0.257320    179.965439
       8     -0.000121     -0.000898      0.199998     -0.140776     -0.257320    179.965439
       9     -0.000161     -0.001198      0.266664     -0.140776     -0.257320    179.965439
      10     -0.000161     -0.001198      0.266664     -0.140776     -0.257320    179.965439
      11     -0.000161     -0.001198      0.266664     -0.140776     -0.257320    179.965439
      12     -0.000201     -0.001497      0.333330     -0.140776     -0.257320    179.965439
      13     -0.000201     -0.001497      0.333330     -0.140776     -0.257320    179.965439
      14     -0.000201     -0.001497      0.333330     -0.140776     -0.257320    179.965439
      15     -0.000241     -0.001796      0.399996     -0.140776     -0.257320    179.965439
      16     -0.000241     -0.001796      0.399996     -0.140776     -0.257320    179.965439
      17     -0.000241     -0.001796      0.399996     -0.140776     -0.257320    179.965439
      18     -0.000281     -0.002096      0.466662     -0.140776     -0.257320    179.965439
      19     -0.000281     -0.002096      0.466662     -0.140776     -0.257320    179.965439
      20     -0.000281     -0.002096      0.466662     -0.140776     -0.257320    179.965439
      21     -0.000322     -0.002395      0.533328     -0.140776     -0.257320    179.965439
      22     -0.000322     -0.002395      0.533328     -0.140776     -0.257320    179.965439
      23     -0.000322     -0.002395      0.533328     -0.140776     -0.257320    179.965439
      24     -0.000362     -0.002695      0.599994     -0.140776     -0.257320    179.965439
      25     -0.000362     -0.002695      0.599994     -0.140776     -0.257320    179.965439
      26     -0.000402     -0.002994      0.666660     -0.140776     -0.257320    179.965439
      27     -0.000402     -0.002994      0.666660     -0.140776     -0.257320    179.965439
      28     -0.000402     -0.002994      0.666660     -0.140776     -0.257320    179.965439
      29     -0.000442     -0.003293      0.733326     -0.140776     -0.257320    179.965439
      30     -0.000442     -0.003293      0.733326     -0.140776     -0.257320    179.965439
      31     -0.000442     -0.003293      0.733326     -0.140776     -0.257320    179.965439
      32     -0.000483     -0.003593      0.799992     -0.140776     -0.257320    179.965439
      33     -0.000483     -0.003593      0.799992     -0.140776     -0.257320    179.965439
      34     -0.000483     -0.003593      0.799992     -0.140776     -0.257320    179.965439
      35     -0.000523     -0.003892      0.866658     -0.140776     -0.257320    179.965439
      36     -0.000523     -0.003892      0.866658     -0.140776     -0.257320    179.965439
      37     -0.000523     -0.003892      0.866658     -0.140776     -0.257320    179.965439
      38     -0.000563     -0.004192      0.933324     -0.140776     -0.257320    179.965439
      39     -0.000563     -0.004192      0.933324     -0.140776     -0.257320    179.965439
      40     -0.000603     -0.004491      0.999990     -0.140776     -0.257320    179.965439
      41     -0.000603     -0.004491      0.999990     -0.140776     -0.257320    179.965439
      42     -0.000603     -0.004491      0.999990     -0.140776     -0.257320    179.965439
      43     -0.000643     -0.004790      1.066656     -0.140776     -0.257320    179.965439
      44     -0.000643     -0.004790      1.066656     -0.140776     -0.257320    179.965439
      45     -0.000643     -0.004790      1.066656     -0.140776     -0.257320    179.965439
      46     -0.000684     -0.005090      1.133322     -0.140776     -0.257320    179.965439
      47     -0.000684     -0.005090      1.133322     -0.140776     -0.257320    179.965439
      48     -0.000684     -0.005090      1.133322     -0.140776     -0.257320    179.965439
      49     -0.000724     -0.005389      1.199988     -0.140776     -0.257320    179.965439
      50     -0.000724     -0.005389      1.199988     -0.140776     -0.257320    179.965439
      51     -0.000764     -0.005689      1.266654     -0.140776     -0.257320    179.965439
      52     -0.000764     -0.005689      1.266654     -0.140776     -0.257320    179.965439
      53     -0.000764     -0.005689      1.266654     -0.140776     -0.257320    179.965439
      54     -0.000804     -0.005988      1.333320     -0.140776     -0.257320    179.965439
      55     -0.000804     -0.005988      1.333320     -0.140776     -0.257320    179.965439
      56     -0.000844     -0.006287      1.399986     -0.140776     -0.257320    179.965439
      57     -0.000844     -0.006287      1.399986     -0.140776     -0.257320    179.965439
      58     -0.000844     -0.006287      1.399986     -0.140776     -0.257320    179.965439
      59     -0.000885     -0.006587      1.466652     -0.140776     -0.257320    179.965439
      60     -0.000885     -0.006587      1.466652     -0.140776     -0.257320    179.965439
      61     -0.000925     -0.006886      1.533318     -0.140776     -0.257320    179.965439
      62     -0.000925     -0.006886      1.533318     -0.140776     -0.257320    179.965439
      63     -0.000925     -0.006886      1.533318     -0.140776     -0.257320    179.965439
      64     -0.000965     -0.007186      1.599984     -0.140776     -0.257320    179.965439
      65     -0.000965     -0.007186      1.599984     -0.140776     -0.257320    179.965439
      66     -0.001005     -0.007485      1.666650     -0.140776     -0.257320    179.965439
      67     -0.001005     -0.007485      1.666650     -0.140776     -0.257320    179.965439
      68     -0.001005     -0.007485      1.666650     -0.140776     -0.257320    179.965439
      69     -0.001046     -0.007785      1.733316     -0.140776     -0.257320    179.965439
      70     -0.001046     -0.007785      1.733316     -0.140776     -0.257320    179.965439
